source_id,relation,target_id
u39416218,following,u3108351
u16076032,following,u168674628
u2922928743,followers,u188793260
u30364057,following,u1324389533186547714
u65375759,following,u106204123
u29458079,following,u30244119
u177564016,following,u233842454
u820354372827758592,following,u15727562
u22429979,following,u1090407266
u2434191967,following,u15754281
u459767319,following,u15163577
u43963249,following,u26792275
u19539716,following,u243236419
u208155240,following,u119099353
u43963249,following,u231108733
u970716252179136514,following,u19346439
u931681289614385158,following,u3995778614
u2884771,following,u17494010
u17264476,following,u1182312568699916288
u1044241,following,u13329732
u2427885031,following,u36424664
u818282957618216960,following,u1188186536
u880412538625810432,following,u69181624
u100588178,following,u23995748
u28657802,following,u245424983
u34713362,following,u69181624
u28657802,following,u33136420
u759251,following,u108617810
u1055907624,following,u426802833
u30364057,following,u202465898
u158414847,following,u16331010
u205392468,following,u29501253
u592730371,following,u1033347878
u158414847,following,u872143958847045632
u43963249,following,u1323730225067339784
u19682187,following,u91180720
u16076032,following,u15484198
u11347122,following,u85131054
u150151712,following,u49616273
u2591320394,following,u950952511556538368
u4041824789,following,u19400611
u2427885031,following,u1280585659699224576
u26792275,following,u15164565
u21862217,following,u218597735
u20479813,following,u160010755
u4041824789,following,u19553409
u110326494,following,u3298708805
u2922928743,following,u514002030
u17264476,followers,u826226272418283520
u20479813,following,u226963044
u39511166,following,u259873788
u26792275,following,u47448886
u3948308435,following,u16056306
u21862217,following,u2786053933
u32774989,following,u35773039
u759251,following,u22799750
u755835576,following,u14133447
u208155240,following,u29097819
u931681289614385158,following,u27000730
u18686907,following,u15441965
u730520573701443584,following,u1033347878
u592730371,following,u321190259
u108977933,following,u15751676
u931681289614385158,following,u844281463
u784890784273215488,following,u823565852922576897
u158414847,following,u8795772
u208155240,following,u229141520
u30378270,following,u32551884
u30378270,following,u571297251
u886749256807100416,following,u116363549
u387900968,following,u372483103
u592730371,following,u722528529716383744
u39416218,following,u459872442
u1159251,following,u131546062
u357606935,following,u14173315
u73238146,following,u158414847
u3093242123,following,u195271137
u158414847,following,u46822887
u133663801,following,u2434191967
u34868965,following,u106204123
u1299686030875004928,following,u788524
u15675138,following,u14085040
u15458694,following,u21316253
u14772775,following,u17689864
u205392468,following,u939091
u755835576,following,u307577710
u100588178,following,u471677441
u26703365,following,u15976705
u26792275,following,u295431169
u931681289614385158,following,u252398355
u784890784273215488,following,u22224143
u15976697,following,u17994536
u28785486,following,u86141342
u784890784273215488,following,u24086519
u15675138,following,u26283307
u369788077,following,u43078558
u130496027,following,u78400205
u21114659,following,u14348157
u1243560408025198593,following,u16184358
u1055907624,following,u546820570
u369788077,following,u18686907
u21201150,following,u482388629
u228474571,followers,u1319773183646568448
u881615056437297152,following,u1522696928
u2922928743,following,u51654515
u820354372827758592,following,u2167097881
u108977933,followers,u1120698997327294464
u22429979,following,u17243913
u21862217,following,u15473574
u784890784273215488,following,u324703658
u16076032,following,u2020351
u14772775,following,u15816595
u521747968,following,u59936143
u592730371,following,u11622712
u26703365,following,u886398296146706432
u26703365,following,u755057897583804416
u722528529716383744,following,u55329156
u387900968,following,u1049475664804532225
u17866318,following,u119829799
u931681289614385158,following,u1207874097251639296
u4765364386,following,u17828988
u16076032,following,u15763959
u1243560408025198593,following,u402888514
u19539716,following,u800942537083068416
u14772775,following,u17494010
u96149284,following,u241201438
u15675138,following,u734783792502575105
u1394399438,following,u205302299
u73238146,following,u250188760
u970716252179136514,following,u16172991
u20402945,following,u2347049341
u102594136,following,u52961107
u617602505,following,u138203134
u32774989,following,u820378690920058880
u70435999,following,u29442313
u15675138,following,u3044993235
u161801527,following,u31128529
u16012783,following,u15279429
u228474571,following,u2434051392
u229125893,following,u47267188
u110326494,following,u139847909
u2427885031,following,u200846651
u20479813,following,u148529707
u783792992,following,u25694156
u39416218,following,u288277167
u18949452,following,u14940354
u110326494,following,u4696552878
u15862891,following,u1175221
u1243560408025198593,following,u807975026
u245424983,following,u2491804962
u228474571,following,u246939630
u39416218,following,u19417492
u158414847,following,u288277167
u521747968,following,u1713118033
u26703365,following,u16017475
u228474571,following,u22799750
u15675138,following,u10252962
u1243560408025198593,following,u125453969
u15458694,following,u205302299
u30364057,following,u266980765
u25203361,following,u1201348645225930752
u4303298356,following,u148529707
u21201150,following,u20944642
u1630896181,following,u17494010
u18686907,following,u1001285146392383489
u17004618,following,u734768872625188864
u369788077,followers,u63514682
u784890784273215488,following,u14962779
u17866318,following,u15220768
u626131422,following,u1880725393
u970716252179136514,following,u2863996955
u228474571,following,u798973032362606600
u1967275506,following,u55790584
u100588178,following,u216776631
u63614947,following,u948946378939609089
u100588178,followers,u953046318393503744
u26792275,following,u1247549077
u108977933,following,u26548315
u1967275506,following,u78694788
u14772775,following,u820431635145510912
u947924373029171200,following,u3075845932
u39416218,following,u14884486
u28657802,following,u1383272101
u14834340,following,u47285504
u43300047,following,u15195539
u63614947,following,u1323730225067339784
u1716121,following,u939091
u18686907,following,u88749392
u134758540,following,u759251
u1299686030875004928,following,u17833574
u784890784273215488,following,u14780915
u34868965,following,u84653850
u2591320394,following,u23908154
u521747968,following,u892219807
u4041824789,following,u16869718
u17004618,following,u26754354
u30354991,following,u64297333
u592730371,following,u1330274087218851852
u216881337,following,u321954654
u43963249,following,u476256944
u55334133,following,u1061009601355829255
u43300047,following,u783792992
u48511236,following,u864674587518287872
u11347122,following,u1179613418
u28657802,following,u12354832
u14834340,following,u38271276
u592730371,following,u1043185714437992449
u722528529716383744,following,u1259714432
u783792992,following,u326255267
u71294756,following,u22799750
u1243560408025198593,following,u98428164
u931681289614385158,following,u19879161
u43300047,following,u9300262
u14772775,following,u331816614
u177564016,following,u31047836
u783792992,following,u138203134
u18839785,following,u604354270
u65375759,followers,u24854898
u626131422,following,u47646735
u21862217,following,u2940964728
u48511236,following,u52495092
u65375759,following,u460737707
u784890784273215488,following,u755835576
u759251,following,u102528940
